Day,Month,Year,PM2.5
26,5,2015,96.09
27,5,2015,84.71
28,5,2015,182.76
29,5,2015,106.61
30,5,2015,92.68
31,5,2015,73.62
1,6,2015,49.42
2,6,2015,52.51
3,6,2015,65.28
4,6,2015,85.45
5,6,2015,83.02
6,6,2015,44.54
7,6,2015,85.03
8,6,2015,137.7
9,6,2015,136.05
10,6,2015,63.77
11,6,2015,115.57
12,6,2015,83.29
13,6,2015,73.7
14,6,2015,74.56
15,6,2015,106.11
16,6,2015,132.21
17,6,2015,123.56
18,6,2015,132.21
19,6,2015,110.65
20,6,2015,80.31
21,6,2015,59.73
22,6,2015,85.4
23,6,2015,101.99
24,6,2015,126.07
25,6,2015,37.59
26,6,2015,76
27,6,2015,69.46
28,6,2015,79.84
29,6,2015,48.5
30,6,2015,53.79
1,7,2015,57.99
2,7,2015,67.12
3,7,2015,65.25
4,7,2015,88.75
5,7,2015,135.92
6,7,2015,60.27
7,7,2015,52.2
8,7,2015,67.92
9,7,2015,65.95
10,7,2015,47.68
11,7,2015,29.08
12,7,2015,32.29
13,7,2015,36.68
14,7,2015,44.48
15,7,2015,63.79
16,7,2015,77.2
17,7,2015,77.99
18,7,2015,71.11
19,7,2015,67.39
20,7,2015,49.58
21,7,2015,40.97
22,7,2015,38.97
23,7,2015,34.02
24,7,2015,46.13
25,7,2015,46.01
26,7,2015,29.81
27,7,2015,22.82
28,7,2015,24.69
29,7,2015,29.04
30,7,2015,25.76
31,7,2015,37.85
1,8,2015,41.32
2,8,2015,47.81
3,8,2015,56.02
4,8,2015,54.46
5,8,2015,59.13
6,8,2015,65.47
7,8,2015,64.58
8,8,2015,70.05
9,8,2015,55.51
10,8,2015,82.27
11,8,2015,77.04
12,8,2015,52.45
13,8,2015,61.66
14,8,2015,65.67
15,8,2015,51.4
16,8,2015,55.71
17,8,2015,61.84
18,8,2015,60.65
19,8,2015,34.42
20,8,2015,40.83
21,8,2015,50.97
22,8,2015,46.74
23,8,2015,44.67
24,8,2015,37.39
25,8,2015,52.06
26,8,2015,57.52
27,8,2015,61.47
28,8,2015,77.76
29,8,2015,68.53
30,8,2015,57.85
31,8,2015,51.67
1,9,2015,73.78
2,9,2015,97.63
3,9,2015,99.5
4,9,2015,97.31
5,9,2015,76.43
6,9,2015,61.69
7,9,2015,55.19
8,9,2015,63.79
9,9,2015,58.48
10,9,2015,60.29
11,9,2015,67.35
12,9,2015,87.55
13,9,2015,84.57
14,9,2015,111.58
15,9,2015,108.78
16,9,2015,91.18
17,9,2015,104.85
18,9,2015,56.19
19,9,2015,67.62
20,9,2015,64.38
21,9,2015,45.65
22,9,2015,35.75
23,9,2015,34.89
24,9,2015,63.06
25,9,2015,82.39
26,9,2015,88.08
27,9,2015,89.75
28,9,2015,69.57
29,9,2015,68.34
30,9,2015,61.08
1,10,2015,85.7
2,10,2015,97.62
3,10,2015,103.58
4,10,2015,145.97
5,10,2015,180.52
6,10,2015,151.57
7,10,2015,144.04
8,10,2015,148.44
9,10,2015,130.22
10,10,2015,147.71
11,10,2015,111.34
12,10,2015,100.7
13,10,2015,97.67
14,10,2015,75.81
15,10,2015,95.24
16,10,2015,148.29
17,10,2015,90.66
18,10,2015,156.71
19,10,2015,170.28
20,10,2015,198.1
21,10,2015,158.04
22,10,2015,116.98
23,10,2015,143.73
24,10,2015,169.22
25,10,2015,147.65
26,10,2015,101.61
27,10,2015,113.2
28,10,2015,112.89
29,10,2015,95.72
30,10,2015,108.4
31,10,2015,245.97
1,11,2015,277.53
2,11,2015,232.4
3,11,2015,244.78
4,11,2015,293.49
5,11,2015,161.78
6,11,2015,153.33
7,11,2015,353.86
8,11,2015,217.55
9,11,2015,201.44
10,11,2015,249.95
11,11,2015,219.68
12,11,2015,258.48
13,11,2015,291.66
14,11,2015,221.68
15,11,2015,214.24
16,11,2015,184.02
17,11,2015,136.22
18,11,2015,188.09
19,11,2015,238.69
20,11,2015,271.42
21,11,2015,293.73
22,11,2015,247.27
23,11,2015,266.95
24,11,2015,241.61
25,11,2015,149.14
26,11,2015,182.5
27,11,2015,193.58
28,11,2015,172.89
29,11,2015,190.46
30,11,2015,282.76
1,12,2015,183.28
2,12,2015,170.74
3,12,2015,190.14
4,12,2015,186.64
5,12,2015,282.01
6,12,2015,218.22
7,12,2015,249.8
8,12,2015,283.59
9,12,2015,250.69
10,12,2015,211.95
11,12,2015,198.38
12,12,2015,184.12
13,12,2015,135.42
14,12,2015,118.6
15,12,2015,88.3
16,12,2015,111.45
17,12,2015,152.24
18,12,2015,136.75
19,12,2015,114.35
20,12,2015,181.67
21,12,2015,135.78
22,12,2015,204.72
23,12,2015,321.52
24,12,2015,129.08
25,12,2015,132.56
26,12,2015,158.69
27,12,2015,187.01
28,12,2015,148.77
29,12,2015,159.67
30,12,2015,233.97
31,12,2015,240.97
1,1,2016,295.71
2,1,2016,239.21
3,1,2016,270.1
4,1,2016,339.8
5,1,2016,318.1
6,1,2016,305.51
7,1,2016,391.54
8,1,2016,339.87
9,1,2016,158.43
10,1,2016,183.24
11,1,2016,227.13
12,1,2016,195.21
13,1,2016,248.59
14,1,2016,196.87
15,1,2016,178.8
16,1,2016,138.86
17,1,2016,179.48
18,1,2016,269.05
19,1,2016,278.2
20,1,2016,272.1
21,1,2016,196.83
22,1,2016,290.66
23,1,2016,294.3
24,1,2016,303.5
25,1,2016,217.05
26,1,2016,308.75
27,1,2016,255.94
28,1,2016,283.03
29,1,2016,311.08
30,1,2016,285.83
31,1,2016,242.05
1,2,2016,121.4
2,2,2016,135.31
3,2,2016,136.87
4,2,2016,130.76
5,2,2016,206.72
6,2,2016,224.94
7,2,2016,170.45
8,2,2016,119.57
9,2,2016,181.76
10,2,2016,216.55
11,2,2016,150
12,2,2016,146.03
13,2,2016,110.89
14,2,2016,103.57
15,2,2016,115.7
16,2,2016,123.22
17,2,2016,135.38
18,2,2016,148.75
19,2,2016,207.1
20,2,2016,150.89
21,2,2016,76.12
22,2,2016,88.73
23,2,2016,86.17
24,2,2016,177.64
25,2,2016,131.69
26,2,2016,129.66
27,2,2016,144.98
28,2,2016,163.92
29,2,2016,170.12
1,3,2016,213.62
2,3,2016,175.63
3,3,2016,165.22
4,3,2016,115.55
5,3,2016,53
6,3,2016,47.43
7,3,2016,98.61
8,3,2016,84.42
9,3,2016,109.16
10,3,2016,129.9
11,3,2016,85.76
12,3,2016,60.17
13,3,2016,58.95
14,3,2016,51.82
15,3,2016,81.32
16,3,2016,67.63
17,3,2016,70.86
18,3,2016,72.47
19,3,2016,103.73
20,3,2016,95.52
21,3,2016,58.4
22,3,2016,47.43
23,3,2016,80.01
24,3,2016,156.01
25,3,2016,137.99
26,3,2016,72.44
27,3,2016,61.75
28,3,2016,81.46
29,3,2016,89.75
30,3,2016,88.68
31,3,2016,127.86
1,4,2016,130.7
2,4,2016,118.44
3,4,2016,148.22
4,4,2016,132.86
5,4,2016,97.83
6,4,2016,91.82
7,4,2016,129.61
8,4,2016,89.78
9,4,2016,166.76
10,4,2016,107.81
11,4,2016,81.12
12,4,2016,74.03
13,4,2016,74.9
14,4,2016,94.81
15,4,2016,137.48
16,4,2016,124.13
17,4,2016,102.86
18,4,2016,102.9
19,4,2016,129.06
20,4,2016,124.8
21,4,2016,92.74
22,4,2016,113.75
23,4,2016,89.52
24,4,2016,123.59
25,4,2016,104.5
26,4,2016,139.37
27,4,2016,162.54
28,4,2016,161.23
29,4,2016,181.49
30,4,2016,142.64
1,5,2016,124.21
2,5,2016,119.47
3,5,2016,125.36
4,5,2016,103.08
5,5,2016,65.02
6,5,2016,54.34
7,5,2016,77.89
8,5,2016,90.19
9,5,2016,77.34
10,5,2016,73.55
11,5,2016,66.49
12,5,2016,100.09
13,5,2016,99.88
14,5,2016,105.51
15,5,2016,128.85
16,5,2016,94.89
17,5,2016,92.95
18,5,2016,117.64
19,5,2016,94.22
20,5,2016,70.86
21,5,2016,78.02
22,5,2016,66.3
23,5,2016,87.31
24,5,2016,57.35
25,5,2016,105.02
26,5,2016,111.22
27,5,2016,180.71
28,5,2016,109.82
29,5,2016,42.67
30,5,2016,56.87
31,5,2016,101.54
1,6,2016,76.56
2,6,2016,81.4
3,6,2016,138.97
4,6,2016,137.81
5,6,2016,77.72
6,6,2016,84.61
7,6,2016,66.72
8,6,2016,64.08
9,6,2016,64.95
10,6,2016,75.75
11,6,2016,69.25
12,6,2016,70.71
13,6,2016,96.72
14,6,2016,59.02
15,6,2016,102.42
16,6,2016,62.37
17,6,2016,67.76
18,6,2016,79.17
19,6,2016,101.31
20,6,2016,83.1
21,6,2016,72.33
22,6,2016,75.14
23,6,2016,91.63
24,6,2016,100.02
25,6,2016,67.12
26,6,2016,48
27,6,2016,76.76
28,6,2016,80.89
29,6,2016,60.67
30,6,2016,69.65
1,7,2016,58.21
2,7,2016,57.24
3,7,2016,67.6
4,7,2016,57.1
5,7,2016,68.71
6,7,2016,77.71
7,7,2016,54.5
8,7,2016,54.96
9,7,2016,52.95
10,7,2016,59.13
11,7,2016,60.92
12,7,2016,39.32
13,7,2016,71.53
14,7,2016,73.51
15,7,2016,52.88
16,7,2016,50.99
17,7,2016,75.93
18,7,2016,44.08
19,7,2016,42.14
20,7,2016,56.86
21,7,2016,45.64
22,7,2016,48.36
23,7,2016,42.09
24,7,2016,59.4
25,7,2016,76.29
26,7,2016,54.5
27,7,2016,40.55
28,7,2016,46.44
29,7,2016,56.16
30,7,2016,42.7
31,7,2016,48.03
1,8,2016,43.47
2,8,2016,43.55
3,8,2016,50.86
4,8,2016,49.04
5,8,2016,39.3
6,8,2016,43.86
7,8,2016,42.84
8,8,2016,44.04
9,8,2016,41.29
10,8,2016,39.28
11,8,2016,30.66
12,8,2016,42.15
13,8,2016,56.45
14,8,2016,40.81
15,8,2016,39.51
16,8,2016,49.04
17,8,2016,62.19
18,8,2016,55.55
19,8,2016,59.03
20,8,2016,48.57
21,8,2016,28.01
22,8,2016,28.6
23,8,2016,38.99
24,8,2016,43.35
25,8,2016,45.88
26,8,2016,54.13
27,8,2016,56.56
28,8,2016,57.09
29,8,2016,54.73
30,8,2016,48.93
31,8,2016,37.1
1,9,2016,28.06
2,9,2016,44.31
3,9,2016,46.77
4,9,2016,57.64
5,9,2016,45.37
6,9,2016,50.42
7,9,2016,50.73
8,9,2016,71.72
9,9,2016,87.99
10,9,2016,45.7
11,9,2016,45.89
12,9,2016,49.7
13,9,2016,57.08
14,9,2016,47.36
15,9,2016,79.99
16,9,2016,67.11
17,9,2016,81.9
18,9,2016,86.16
19,9,2016,75.02
20,9,2016,94.23
21,9,2016,89.62
22,9,2016,32.73
23,9,2016,55.64
24,9,2016,56.46
25,9,2016,56.64
26,9,2016,89.09
27,9,2016,52.49
28,9,2016,105.43
29,9,2016,101.84
30,9,2016,84.33
1,10,2016,117.28
2,10,2016,81.87
3,10,2016,103.12
4,10,2016,159.8
5,10,2016,81.71
6,10,2016,117.86
7,10,2016,114.06
8,10,2016,132.11
9,10,2016,144.47
10,10,2016,125.8
11,10,2016,134.84
12,10,2016,114.3
13,10,2016,86.93
14,10,2016,94.83
15,10,2016,144.98
16,10,2016,132.01
17,10,2016,149.35
18,10,2016,161.49
19,10,2016,140.57
20,10,2016,135.9
21,10,2016,161.11
22,10,2016,140.92
23,10,2016,182.14
24,10,2016,164.51
25,10,2016,115.76
26,10,2016,209.27
27,10,2016,296.27
28,10,2016,318.57
29,10,2016,350.39
30,10,2016,355.77
31,10,2016,434.92
1,11,2016,394.59
2,11,2016,537.96
3,11,2016,482.4
4,11,2016,342.45
5,11,2016,588.39
6,11,2016,685.36
7,11,2016,488.57
8,11,2016,338.38
9,11,2016,307.08
10,11,2016,291.71
11,11,2016,295.88
12,11,2016,277.67
13,11,2016,228.16
14,11,2016,194.2
15,11,2016,236.09
16,11,2016,291.98
17,11,2016,351.47
18,11,2016,237.21
19,11,2016,285.71
20,11,2016,323.74
21,11,2016,340.61
22,11,2016,281.76
23,11,2016,174.56
24,11,2016,216.1
25,11,2016,136.21
26,11,2016,113.3
27,11,2016,128.7
28,11,2016,127.5
29,11,2016,236.58
30,11,2016,246.25
1,12,2016,263.61
2,12,2016,263.25
3,12,2016,196.6
4,12,2016,223.3
5,12,2016,204.6
6,12,2016,293.91
7,12,2016,283.61
8,12,2016,238.21
9,12,2016,295.62
10,12,2016,189.09
11,12,2016,199.12
