T,TM,Tm,SLP,H,VV,V,VM
28.4,34.6,18.4,1002.6,26,3.4,13.7,24.1
26.8,34.2,16.2,1006.6,31,3.7,7.8,14.8
25.8,35,11.7,1008.5,27,3.7,4.8,18.3
28.7,38.2,21.7,1008.3,40,1.9,6.3,11.1
26.7,36.9,18.4,1008,37,2.7,7.2,18.3
26.1,36.4,14.3,1008.7,36,2.9,4.4,11.1
30.2,39.4,19.4,1008.4,36,2.7,9.3,16.5
31.1,40.2,20.6,1007,37,3.1,8.3,14.8
31.8,40.4,21.5,1005.9,34,3.5,9.6,20.6
29.1,37.2,18.5,1005.5,46,2.7,4.8,13
28.3,37.8,19.5,1005.2,44,2.7,11.1,22.2
26.9,33.8,19.2,1007.9,53,3.4,9.3,14.8
28.1,36.8,18,1008.2,46,2.7,5.6,14.8
29.8,39.8,16.7,1006.2,40,3.1,5,14.8
31.3,41.4,19.6,1005.6,42,2.6,4.4,11.1
34.6,41,28.2,1005.8,33,2.3,7,11.1
31.8,41.5,24.8,1005.6,43,2.3,3.9,16.5
31.9,39.5,24.3,1003.9,42,2.4,6.7,14.8
28.7,39.8,21.7,1007.8,55,3.1,5.9,11.1
31.5,38.4,22.3,1006.1,43,3.1,4.3,7.6
31.5,39,23.2,1004.3,46,2.7,5,13
28.1,36.8,21.3,1003.1,59,3.1,9.3,16.5
30.9,37,23.2,1002.1,49,3.1,8.5,13
30.1,38.6,23,1004,47,2.6,5.4,14.8
22.3,30.8,21.2,1002.6,96,1.1,7.8,14.8
25.7,31,19.3,1001.6,82,1.8,6.5,14.8
26,32.4,19.4,1004.8,82,2.9,5.7,9.4
31.8,38.6,23,1000.1,41,3.2,6.3,14.8
31.7,39.4,22.6,998.4,39,3.2,3.9,7.6
32.1,40.6,22.2,998.9,45,3.2,7.2,11.1
31.4,38.8,20.4,998.9,53,3.4,6.9,14.8
27.2,39.6,17.9,1003.1,72,3.2,5.7,14.8
30.9,36.6,23,1003.2,50,1.9,7.2,11.1
32,37.2,24.4,1003.9,58,2.7,4.4,9.4
33.8,39.6,26.1,998.7,52,3.2,5.4,11.1
36.1,41.2,28.6,996.1,42,3.2,12,24.1
36.9,41.7,31.4,995.5,43,2.7,11.5,18.3
30.9,35.8,23.8,998.6,67,3.1,4.6,11.1
32.9,38.2,25.5,995.7,54,3.2,5.6,9.4
32.7,38.6,27,993.2,59,2.9,8,18.3
30.5,36.6,25.3,998.9,68,2.3,9.4,14.8
29.8,35.1,25.2,1000.1,73,2.9,8.9,14.8
32.6,36.4,25.5,1000.3,61,3.1,5.4,9.4
32.5,39,25.1,998.7,50,2.7,5.9,9.4
31.6,40.1,25.6,1001.8,63,2.3,6.3,22.2
33.3,38.7,26.7,1003.3,58,2.1,5,9.4
37.4,43.5,28.8,994,40,3.5,12,24.1
35.1,43.1,27.2,996.1,49,2.6,15.2,31.7
31.6,41.3,24.1,999.5,58,2.7,6.7,11.1
36.4,41.4,29.5,997.3,46,3.5,7.8,14.8
34.7,42.6,26.8,997.8,49,2.7,10.2,16.5
33.2,41.8,24.1,999.4,65,2.7,8.1,11.1
28.4,37.7,23.5,1002.1,91,1.8,6.7,14.8
27.2,35,25,1001.4,93,2.1,5.6,13
31.3,35.4,23.4,1001.5,77,2.6,5.6,7.6
26.1,36.4,24.2,998,99,1.9,2.6,11.1
27.4,31.6,24,998.1,94,1.8,4.8,11.1
29.9,34.2,22.4,996,84,2.3,5.9,11.1
33.7,37,27.6,997.2,68,3.5,6.3,13
31.3,37.3,28.3,996,79,1.9,4.8,9.4
28.4,33.1,25,994.6,94,1.8,4.8,11.1
30.3,34.4,24.3,997.8,85,3.1,5.4,11.1
28.6,35,24.8,997.1,87,1.9,2.8,7.6
29.5,32.1,26.1,998,85,1.9,2,7.6
30.7,34,25.8,998.5,77,2.6,6.7,14.8
29.9,36.7,27.3,1001.1,85,2.3,3,11.1
28.2,33.2,26.4,1002.6,91,1.9,2,9.4
29.9,33.4,25.1,1002.4,83,1.6,5,7.6
32.9,36.2,27,999.7,58,3.4,11.9,24.1
33.6,37,26.8,998.4,57,3.5,6.5,20.6
32.7,36.8,27,1000,60,3.4,8.9,14.8
32.3,38,27.5,999.6,69,2.1,4.4,7.6
27.2,36.5,26,1003.2,92,1.9,7.4,14.8
27.8,32.8,23.8,1004.3,95,1.9,6.3,9.4
33.1,35.8,27.4,997.7,60,3.2,14.1,27.8
30.9,36.4,26.6,997.7,63,2.7,12.2,24.1
31.7,35.6,25.4,999.7,61,3.4,7,13
26.4,34.6,24,1007,94,1.8,6.5,11.1
25.1,28.9,23.6,1006,99,1.4,6.5,14.8
28.5,32,23.7,1003.6,85,2.3,5.2,11.1
31,34.4,25.4,1002.8,74,2.9,5.4,13
30.8,36.2,27.4,1004.9,81,2.4,4.4,13
29.8,33.6,26,1003.4,80,3.1,10.6,18.3
30.2,33.8,27.2,1002.7,82,1.9,9.1,18.3
27.6,33.4,25,1001.7,92,1.9,1.5,5.4
30.2,35,24,1003.4,82,2.4,7.2,22.2
31.3,35.4,25.2,1004.9,74,3.7,6.3,14.8
31.3,34.4,26,1006.3,74,3.2,6.9,11.1
30.8,35,26.5,1004.8,73,2.6,5.4,11.1
29.4,35.8,25.8,1003.7,79,3.1,4.8,9.4
28.8,32.7,24.6,1004.8,81,3.1,3.3,7.6
29.1,33.2,25.5,1005.1,81,1.9,6.3,11.1
29.9,33.8,26,1005.4,77,2.3,3.3,7.6
29.9,35.2,26.5,1008.3,79,2.3,1.9,9.4
30.6,35,26.2,1006.1,73,3.1,5.2,11.1
30.7,36,26.3,1004.3,72,3.1,7.2,18.3
28.4,34.9,23.8,1005.8,71,2.6,4.4,13
29.1,35,23.4,1004.8,64,3.1,4.8,11.1
28.7,35.8,23,1005.1,63,3.7,2.2,9.4
26.6,36.7,20.6,1006.9,57,2.3,2.8,7.6
25.9,33.9,19,1006.4,55,3.1,2.4,5.4
28,35,18.6,1004.1,55,3.1,5,11.1
25.6,30.8,19.9,1007.2,76,2.9,8.9,18.3
25.3,31.4,19.8,1010.2,70,2.1,5,11.1
24.6,32.1,16,1009.7,54,3.2,6.1,18.3
21.8,31.5,16.4,1013.7,78,2.7,2,7.6
21.3,28.4,16.2,1013.7,73,1.9,4.8,14.8
20.9,28,14.6,1014.9,69,1.9,4.8,13
21.7,30.2,16.2,1013.7,66,1.9,4.6,14.8
21.7,30.6,13.6,1013.3,70,1.9,2,5.4
21.7,31.2,14.5,1015,68,1.9,2.2,7.6
22,29.6,15.9,1014,74,1.4,2.8,7.6
20.3,29,14.2,1012.1,68,0.8,2.8,9.4
20,29.1,13.6,1013.5,70,0.8,3,13
20.4,29.2,13.5,1014.3,70,0.8,3.7,7.6
18.3,27.4,11.1,1013.4,71,1.3,3,9.4
18.1,27.4,10.1,1012.8,68,1.1,0.7,5.4
18.1,28.1,10.3,1012.1,70,1,1.3,7.6
18.2,26.8,10.9,1011.3,73,0.6,1.5,7.6
18.6,26.2,14.5,1012.3,72,0.8,2,7.6
17.9,27.2,9.8,1013.5,67,1.3,5,14.8
17.4,28.8,9.7,1014.5,73,0.6,0.7,5.4
17.6,27.8,11,1014.7,79,0.5,1.3,5.4
17.5,27.6,10.2,1015.8,79,0.8,1.7,7.6
17.2,25.6,11.5,1017.2,81,0.6,0.7,5.4
16.5,23,13.4,1017.1,87,0.5,1.7,7.6
17.6,21.6,12.5,1017.6,83,0.5,2.6,7.6
16.9,24.8,11.4,1017.4,70,1.3,4.6,13
15.9,25.1,10.1,1017.9,73,1.8,2.4,7.6
15.6,24,8.4,1020.3,76,1.4,2.2,9.4
14.1,23.9,6.6,1018.1,74,1.3,0.9,7.6
14.3,22.4,7.5,1017.9,78,0.8,1.9,7.6
13.7,22.7,7.8,1018,76,0.8,2.8,7.6
10.9,18.6,4.6,1020.3,68,1.4,6.7,14.8
10.8,20,3.2,1019,70,1.1,2,5.4
12.4,22.2,4,1017.2,67,1.1,2.4,7.6
14.5,23.2,7,1016.2,81,0.6,1.3,5.4
15.6,23.6,9.8,1018.5,86,0.3,2.4,7.6
15,22.4,10.4,1019.5,76,1,0.7,5.4
10.7,19.5,3.8,1023.3,72,1,3,7.6
