Unnamed: 0,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
2084,27.7,34.0,21.0,1010,59,0,2.7,3.3,7,100,2019-10-10
169,35.6,41.4,28.4,993,55,4,1.9,10.9,18,158,2014-06-19
1355,27.1,31.0,23.0,-1,79,0,2.4,9.4,18,35,2017-09-24
737,17.6,24.4,8.7,1017,68,0,2.1,4.8,13,183,2016-01-10
1861,21.6,28.0,13.2,1015,72,0,2.9,9.4,16,73,2019-02-21
2928,13.1,23.4,11.0,1007,84,0,0.8,13.1,22,112,2022-02-03
1672,30.4,33.4,26.5,999,83,4,1.9,4.6,9,36,2018-08-08
1564,28.6,34.4,21.2,1008,24,0,2.3,10.4,31,62,2018-04-22
2147,16.4,23.2,12.8,1013,85,2,0.8,8.5,13,284,2019-12-12
634,28.3,35.2,23.8,1008,63,0,1.9,3.9,11,69,2015-09-28
2874,15.0,23.7,8.3,1019,69,0,1.4,3.7,11,114,2021-12-11
2157,11.3,18.0,7.4,1019,92,0,0.8,7.8,14,146,2019-12-22
1640,33.7,37.8,28.2,997,59,0,1.9,3.1,14,61,2018-07-07
1290,32.5,36.0,28.0,997,70,0,3.1,10.0,18,23,2017-07-21
2659,31.4,39.4,24.5,1003,43,0,3.1,9.8,14,55,2021-05-10
1380,28.5,36.0,19.4,1008,58,0,2.4,0.6,9,176,2017-10-19
579,31.2,36.8,26.0,999,73,-1,1.9,1.9,9,54,2015-08-04
328,16.4,26.6,8.0,1015,57,0,1.3,2.6,14,153,2014-11-25
1965,37.0,41.6,29.0,997,38,0,3.2,9.8,18,52,2019-06-13
892,32.6,40.7,26.0,996,59,-1,2.6,11.9,29,59,2016-06-14
1143,20.6,27.0,12.0,1012,55,0,2.6,8.1,18,93,2017-02-22
780,21.0,28.0,14.0,1013,55,0,2.6,15.2,33,88,2016-02-22
1878,19.6,27.0,10.8,1014,57,0,3.4,5.6,14,73,2019-03-10
159,37.9,45.5,30.1,993,38,0,1.9,5.9,16,151,2014-06-09
2290,27.2,37.9,22.6,1006,81,11,1.9,8.7,14,32,2020-05-03
2476,21.3,30.6,11.2,1014,62,0,1.0,3.7,11,263,2020-11-05
2526,13.0,23.1,4.6,1017,74,0,1.1,3.5,9,219,2020-12-25
61,17.8,25.7,10.5,1016,67,0,2.1,3.7,11,189,2014-03-03
849,38.0,44.0,23.8,1001,20,0,2.6,9.6,29,119,2016-05-02
2316,28.4,40.3,22.6,1002,70,0,2.3,10.6,14,24,2020-05-29
3140,32.3,37.1,26.8,1001,58,0,2.9,10.0,16,147,2022-09-03
1925,34.8,42.0,23.4,1001,30,0,3.1,8.7,18,84,2019-04-29
1596,33.1,43.0,26.5,1000,39,0,2.6,2.6,9,114,2018-05-24
1776,21.0,28.4,13.5,-1,72,0,1.6,0.9,3,193,2018-11-28
1043,23.1,30.1,14.1,1016,58,0,1.3,4.3,13,228,2016-11-13
2709,35.5,41.6,27.4,997,45,0,3.1,4.4,11,66,2021-06-29
1544,27.6,36.2,20.8,1009,53,0,2.6,4.8,11,96,2018-04-02
2167,10.8,20.2,2.4,1022,84,0,0.6,3.1,13,372,2020-01-01
2459,25.4,34.7,16.0,1007,52,0,2.4,3.3,13,109,2020-10-19
1070,16.2,26.6,11.2,1013,84,0,0.6,4.8,9,189,2016-12-10
53,16.6,22.3,12.0,1019,83,0,0.6,7.8,14,241,2014-02-23
3137,31.9,38.0,25.9,1003,66,0,2.4,6.1,11,104,2022-08-31
2651,31.8,41.5,24.8,1005,43,0,2.3,3.9,16,67,2021-05-02
1797,14.8,22.3,5.2,1018,67,0,2.1,4.6,11,205,2018-12-19
258,30.6,34.9,26.0,1002,70,0,1.9,6.3,20,130,2014-09-16
505,36.3,43.6,27.0,998,26,0,2.7,12.4,18,67,2015-05-22
752,11.7,18.0,6.4,1017,76,0,0.8,4.4,13,217,2016-01-25
2196,13.6,20.6,8.0,1017,82,0,1.0,5.6,13,91,2020-01-30
217,32.6,35.5,30.0,996,67,0,1.9,7.4,9,111,2014-08-06
824,31.3,37.0,23.5,1006,35,0,2.7,3.5,7,91,2016-04-06
2551,13.4,20.2,6.9,1013,87,0,0.3,10.9,16,302,2021-01-19
3256,14.2,21.6,6.3,1017,66,0,1.4,6.9,18,142,2022-12-28
2472,22.1,31.0,11.4,1013,52,0,1.6,8.1,16,252,2020-11-01
1389,23.3,32.8,16.6,1013,69,0,1.8,0.4,3,198,2017-10-28
2716,35.3,40.0,28.7,998,50,0,2.7,5.7,13,42,2021-07-06
1266,35.6,39.0,30.5,998,59,0,3.4,9.4,18,36,2017-06-27
2677,32.5,41.2,25.3,1000,56,0,3.2,8.5,11,29,2021-05-28
2043,33.0,38.2,28.0,-1,67,0,2.9,5.7,9,43,2019-08-30
1598,34.5,44.0,24.5,998,27,0,1.9,4.4,18,103,2018-05-26
2228,21.2,27.8,14.6,1012,81,0,1.9,1.3,5,99,2020-03-02
1607,35.9,41.0,30.4,998,51,0,2.7,11.1,14,64,2018-06-04
